schema_version	namespace	profile	master	order_index	position	predecessor	method	candidate_count	attempted_paths	dropped_paths	generation_elapsed_s	generation_overage	ledger_charge_total_s	actual_replay_total_s	actual_replay_overage	replay_coverage_numerator	replay_coverage_denominator	raw	invalid_attribution_count	duplicate_identity_count	score_identity_failure_count	timeout_count	incomplete_count	exception_count	exception_id	cell_valid	transition_sequence_json
hcms24-method-cell-v1	primary	steady_linear_new	211	1	2	fixed24_no_salvage_calibrated	hcms_calibrated	3	5	2	1.9917476930422708	False	1.8690402821812313	1.3765351871261373	False	3	3	902.0	0	0	0	0	0	0		True	[24,24,8]
hcms24-method-cell-v1	primary	steady_linear_new	211	1	3	hcms_calibrated	hcms_scalar	4	4	0	1.9114382099360228	False	1.613330411084462	2.0100121890427545	True	0	4	1288.0	0	0	0	0	0	0		True	[24,24,24,8]
hcms24-method-cell-v1	primary	steady_linear_new	211	2	0	none	fixed24_no_salvage_calibrated	2	4	2	1.9142012079246342	False	1.4875076632597484	1.1135697569698095	False	2	2	772.0	0	0	0	0	0	0		True	[24,24]
hcms24-method-cell-v1	primary	steady_linear_new	211	2	1	fixed24_no_salvage_calibrated	hcms_scalar	4	4	0	1.906826916965656	False	1.6743903813534418	2.047608439112082	True	0	4	1288.0	0	0	0	0	0	0		True	[24,24,24,8]
hcms24-method-cell-v1	primary	steady_linear_new	211	2	2	hcms_scalar	fixed8_calibrated	5	9	4	1.9073929329169914	False	1.9614305732829962	1.18910640606191	False	5	5	650.0	0	0	0	0	0	0		True	[8,8,8,8,8]
hcms24-method-cell-v1	primary	steady_linear_new	211	2	3	fixed8_calibrated	hcms_calibrated	3	4	1	1.903896052041091	False	1.8948753281438258	1.2768740030005574	False	3	3	902.0	0	0	0	0	0	0		True	[24,24,8]
hcms24-method-cell-v1	primary	steady_linear_new	211	3	0	none	hcms_scalar	4	4	0	1.9211493820184842	False	1.7406270915642381	2.0264731149654835	True	0	4	1288.0	0	0	0	0	0	0		True	[24,24,24,8]
hcms24-method-cell-v1	primary	steady_linear_new	211	3	1	hcms_scalar	hcms_calibrated	3	5	2	1.9063038289314136	False	1.8284553350531496	1.3131462859455496	False	3	3	902.0	0	0	0	0	0	0		True	[24,24,8]
hcms24-method-cell-v1	primary	steady_linear_new	211	3	2	hcms_calibrated	fixed24_no_salvage_calibrated	2	4	2	1.917086720932275	False	1.4852683749631979	1.0426268359879032	False	2	2	772.0	0	0	0	0	0	0		True	[24,24]
hcms24-method-cell-v1	primary	steady_linear_new	211	3	3	fixed24_no_salvage_calibrated	fixed8_calibrated	5	10	5	1.981371067930013	False	1.949349450005684	1.1949467320227996	False	5	5	650.0	0	0	0	0	0	0		True	[8,8,8,8,8]
hcms24-method-cell-v1	primary	steady_linear_new	307	0	0	none	hcms_calibrated	3	4	1	1.9183179800165817	False	1.9861841325473506	1.443330371985212	False	3	3	902.0	0	0	0	0	0	0		True	[24,24,8]
hcms24-method-cell-v1	primary	steady_linear_new	307	0	1	hcms_calibrated	fixed8_calibrated	5	11	6	1.9862357589881867	False	1.8606803665170446	1.1509546278975904	False	5	5	538.0	0	0	0	0	0	0		True	[8,8,8,8,1]
hcms24-method-cell-v1	primary	steady_linear_new	307	0	2	fixed8_calibrated	hcms_scalar	4	4	0	1.9054392139660195	False	1.5722886794479567	1.9088303819298744	False	0	4	1176.0	0	0	0	0	0	0		True	[24,24,24,1]
hcms24-method-cell-v1	primary	steady_linear_new	307	0	3	hcms_scalar	fixed24_no_salvage_calibrated	2	4	2	1.9206177660962567	False	1.521248290373478	1.137099472922273	False	2	2	772.0	0	0	0	0	0	0		True	[24,24]
hcms24-method-cell-v1	primary	steady_linear_new	307	1	0	none	fixed8_calibrated	5	11	6	2.0020807860419154	True	1.9347378957900219	1.1143369923811406	False	5	5	650.0	0	0	0	0	0	0		False	[8,8,8,8,8]
hcms24-method-cell-v1	primary	steady_linear_new	307	1	1	fixed8_calibrated	fixed24_no_salvage_calibrated	2	4	2	1.9073143859859556	False	1.5514515740505885	1.0868615900399163	False	2	2	772.0	0	0	0	0	0	0		True	[24,24]
hcms24-method-cell-v1	primary	steady_linear_new	307	1	2	fixed24_no_salvage_calibrated	hcms_calibrated	3	4	1	1.9308526089880615	False	1.978995295939967	1.4894351101247594	False	3	3	902.0	0	0	0	0	0	0		True	[24,24,8]
hcms24-method-cell-v1	primary	steady_linear_new	307	1	3	hcms_calibrated	hcms_scalar	4	4	0	1.9077742639929056	False	1.6711581677081997	2.062415694934316	True	0	4	1288.0	0	0	0	0	0	0		True	[24,24,24,8]
