regime,master_label,gain_percent,mean_gain_percent,materiality_threshold_percent
Primary public,P0,41.437632336565,40.249038022308,5.000000000000
Primary public,P1,38.111186959411,40.249038022308,5.000000000000
Primary public,P2,41.198294770946,40.249038022308,5.000000000000
Changed public,G0,36.653863013959,36.393868336949,5.000000000000
Changed public,G1,37.352060597349,36.393868336949,5.000000000000
Changed public,G2,35.175681399541,36.393868336949,5.000000000000
