run,chain_full_raw_per_sec,chain_scoc_raw_per_sec,chain_generic_raw_per_sec,scoc_full_ratio,generic_scoc_ratio,scoc_coverage,required_ratio
run03,13224.396068930782,14363.784626779308,14364.666321289616,1.0861580787439806,1.0000613831614173,1.0,1.25
run04,13158.699273481809,13475.494739065894,13330.186565093298,1.0240749833247205,0.9892168579494641,1.0,1.25
