master_index,profiles,gain_percent,mean_gain_percent
0,40,52.609341554583,48.952971791444
1,40,45.344531072985,48.952971791444
2,40,48.905042746765,48.952971791444
0,160,43.389924985133,42.794164975019
1,160,39.592292530738,42.794164975019
2,160,45.400277409186,42.794164975019
0,320,41.437632336565,40.249038022308
1,320,38.111186959411,40.249038022308
2,320,41.198294770946,40.249038022308
