profile	master	replicate	arm	phase	cost_s	events	raw	fire_fraction
per_turn_linear	43	0	8	replay	0.2648751519154757	8	130	1.0
per_turn_linear	43	0	24	generation	0.5919837789842859	24	386	1.0
per_turn_linear	43	0	24	replay	0.6465942529030144	24	386	1.0
per_turn_linear	43	0	1	generation	0.0460122610675171	1	18	1.0
per_turn_linear	43	0	1	replay	0.11872767494060099	1	18	1.0
per_turn_linear	43	0	4	generation	0.09898530505597591	4	66	1.0
per_turn_linear	43	0	4	replay	0.2077479810686782	4	66	1.0
per_turn_linear	43	1	24	generation	0.5483980739954859	24	386	1.0
per_turn_linear	43	1	24	replay	0.6341244169743732	24	386	1.0
per_turn_linear	43	1	1	generation	0.04457293392624706	1	18	1.0
per_turn_linear	43	1	1	replay	0.10958322207443416	1	18	1.0
per_turn_linear	43	1	4	generation	0.10027379100210965	4	66	1.0
per_turn_linear	43	1	4	replay	0.2075312628876418	4	66	1.0
per_turn_linear	43	1	8	generation	0.207487061037682	8	130	1.0
per_turn_linear	43	1	8	replay	0.30550154601223767	8	130	1.0
per_turn_linear	43	2	1	generation	0.05183740903157741	1	18	1.0
per_turn_linear	43	2	1	replay	0.10853690188378096	1	18	1.0
per_turn_linear	43	2	4	generation	0.10051734396256506	4	66	1.0
per_turn_linear	43	2	4	replay	0.20152115495875478	4	66	1.0
per_turn_linear	43	2	8	generation	0.22225467092357576	8	130	1.0
per_turn_linear	43	2	8	replay	0.28438680397812277	8	130	1.0
per_turn_linear	43	2	24	generation	0.5700089019956067	24	386	1.0
per_turn_linear	43	2	24	replay	0.6113790620584041	24	386	1.0
per_turn_linear	43	3	4	generation	0.13153442193288356	4	66	1.0
per_turn_linear	43	3	4	replay	0.1867459521163255	4	66	1.0
per_turn_linear	43	3	8	generation	0.18594219197984785	8	130	1.0
per_turn_linear	43	3	8	replay	0.2860959010431543	8	130	1.0
per_turn_linear	43	3	24	generation	0.5840010709362105	24	386	1.0
per_turn_linear	43	3	24	replay	0.6281136518809944	24	386	1.0
per_turn_linear	43	3	1	generation	0.03827820299193263	1	18	1.0
per_turn_linear	43	3	1	replay	0.13858061598148197	1	18	1.0
per_turn_linear	43	4	8	generation	0.18547424592543393	8	130	1.0
per_turn_linear	43	4	8	replay	0.2572837888728827	8	130	1.0
per_turn_linear	43	4	24	generation	0.5389850860228762	24	386	1.0
per_turn_linear	43	4	24	replay	0.6440860469592735	24	386	1.0
